ID,Country,NACE_label,Org. type,NACE_section_label,Argument_Type,Argument_Label
8021,France,Printing and reproduction of recorded media,Industry or trade association,Manufacturing,1_argument,Scientific arguments
8751,Italy,"Manufacture of fabricated metal products, except machinery and equipment",Company,Manufacturing,1_argument,Scientific arguments
8982,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9002,Germany,unknown,Company,Unknown,1_argument,Scientific arguments
9024,Germany,Manufacture of basic metals,Company,Manufacturing,1_argument,Scientific arguments
9046,Finland,"Manufacture of fabricated metal products, except machinery and equipment",Company,Manufacturing,1_argument,Scientific arguments
9092,Belgium,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9236,Italy,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9252,United States of America,"Electricity, gas, steam and air conditioning supply",Company,"Electricity, gas, steam and air conditioning supply",1_argument,Scientific arguments
9283,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9284,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9308,Italy,Manufacture of basic metals,Company,Manufacturing,1_argument,Scientific arguments
9339,Norway,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
9357,United States of America,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
9378,Belgium,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9482,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
9522,Germany,Printing and reproduction of recorded media,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9533,Switzerland,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9297,Germany,Manufacture of basic pharmaceutical products and pharmaceutical preparations,National NGO,Manufacturing,1_argument,Scientific arguments
6757,Japan,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Company,Manufacturing,1_argument,Scientific arguments
3967,Japan,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Company,Manufacturing,1_argument,Scientific arguments
3942,Japan,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
7256,Hong Kong,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6756,Japan,Manufacture of textiles,Company,Manufacturing,1_argument,Scientific arguments
8979,Japan,Architectural and engineering activities; technical testing and analysis,Company,"Professional, scientific and technical activities",1_argument,Scientific arguments
3951,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6409,Japan,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
4291,Japan,Sewerage,Company,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
7343,China,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7504,China,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8983,India,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
4078,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
4360,Italy,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6189,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7498,China,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8858,United States of America,"Computer programming, consultancy and related activities",Company,Information and communication,1_argument,Scientific arguments
8026,Belgium,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6795,China,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7846,Belgium,Manufacture of textiles,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6116,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4209,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4214,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4210,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9051,United States of America,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6238,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9229,United Kingdom,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9407,Germany,"Waste collection, treatment and disposal activities; materials recovery",Industry or trade association,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
4260,Belgium,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use,Industry or trade association,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1_argument,Scientific arguments
6076,Luxembourg,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8354,"Korea, Republic of","Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
8353,"Korea, Republic of",Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7416,China,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7327,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8625,Belgium,unknown,Company,Unknown,1_argument,Scientific arguments
8628,Belgium,unknown,Company,Unknown,1_argument,Scientific arguments
7200,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
6827,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6777,Germany,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use,Company,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1_argument,Scientific arguments
7905,Germany,"Office administrative, office support and other business support activities",Company,Administrative and support service activities,1_argument,Scientific arguments
3997,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9009,Austria,Manufacture of paper and paper products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6671,China,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
6684,China,individual,Individual,Unknown,1_argument,Scientific arguments
7525,Japan,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7288,Poland,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7268,China,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4577,Japan,"Computer programming, consultancy and related activities",Company,Information and communication,1_argument,Scientific arguments
9316,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7271,Japan,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7294,Japan,unknown,Industry or trade association,Unknown,1_argument,Scientific arguments
6949,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7250,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7251,Japan,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7252,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9250,Norway,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6609,Germany,"Manufacture of computer, electronic and optical products",Industry or trade association,Manufacturing,1_argument,Scientific arguments
7400,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
9363,Belgium,"Manufacture of computer, electronic and optical products",Other contributor,Manufacturing,1_argument,Scientific arguments
4245,Belgium,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6514,United Kingdom,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
8112,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7440,Netherlands,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8487,Japan,Other manufacturing,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7366,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7368,Germany,"Waste collection, treatment and disposal activities; materials recovery",Company,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
6407,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7707,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6968,Belgium,Manufacture of food products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6173,Japan,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Company,Manufacturing,1_argument,Scientific arguments
7067,China,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7066,China,Manufacture of other transport equipment,Company,Manufacturing,1_argument,Scientific arguments
7068,China,Manufacture of textiles,Company,Manufacturing,1_argument,Scientific arguments
8827,Italy,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7802,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
6731,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7817,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4570,Switzerland,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9532,Germany,"Waste collection, treatment and disposal activities; materials recovery",Company,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
7590,Switzerland,Printing and reproduction of recorded media,Company,Manufacturing,1_argument,Scientific arguments
8763,Austria,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7301,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
4367,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
4578,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
4580,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
5932,Germany,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Company,Manufacturing,1_argument,Scientific arguments
5934,Germany,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
5936,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
9388,Belgium,unknown,Industry or trade association,Unknown,1_argument,Scientific arguments
8896,France,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9114,Australia,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9485,United Kingdom,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7140,France,"Office administrative, office support and other business support activities",Company,Administrative and support service activities,1_argument,Scientific arguments
4424,France,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8927,France,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7570,Belgium,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
5923,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7232,Portugal,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6307,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6227,Finland,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7601,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9404,France,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4306,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9124,United States of America,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
9557,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
3906,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9588,Lithuania,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
9080,Turkey,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9446,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
6458,Japan,"Computer programming, consultancy and related activities",Company,Information and communication,1_argument,Scientific arguments
9452,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
4082,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6384,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6194,Japan,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9324,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9442,Italy,Other manufacturing,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4488,United Kingdom,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9278,United Kingdom,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8867,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
4326,Japan,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
4325,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7278,Germany,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6182,Austria,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
8572,Italy,Manufacture of rubber and plastic products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4527,Belgium,"Water collection, treatment and supply",Company,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
6360,Italy,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9431,Germany,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4588,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4331,Japan,Manufacture of electrical equipment,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6042,Japan,Manufacture of electrical equipment,Company,Manufacturing,1_argument,Scientific arguments
8540,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4341,Germany,"Water collection, treatment and supply",Company,"Water supply; sewerage, waste management and remediation activities",1_argument,Scientific arguments
6007,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7055,Japan,Telecommunications,Company,Information and communication,1_argument,Scientific arguments
6066,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6786,United Kingdom,Manufacture of rubber and plastic products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6118,Switzerland,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6724,China,Manufacturing,Company,Manufacturing,1_argument,Scientific arguments
8379,Finland,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7722,China,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
7423,Belgium,"Computer programming, consultancy and related activities",Industry or trade association,Information and communication,1_argument,Scientific arguments
3912,Germany,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
4281,Japan,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
8762,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
8389,Germany,"Manufacture of computer, electronic and optical products",Industry or trade association,Manufacturing,1_argument,Scientific arguments
7072,China,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7074,China,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6069,Japan,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7295,China,individual,Individual,Unknown,1_argument,Scientific arguments
4118,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6391,Germany,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4490,United States of America,individual,Individual,Unknown,1_argument,Scientific arguments
6699,United States of America,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8453,China,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4041,Belgium,Scientific research and development,Industry or trade association,"Professional, scientific and technical activities",1_argument,Scientific arguments
6544,Japan,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8019,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
6834,United States of America,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7430,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
9383,Italy,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
7620,United States of America,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6716,Netherlands,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6596,Belgium,"Manufacture of motor vehicles, trailers and semi-trailers",Company,Manufacturing,1_argument,Scientific arguments
6481,Belgium,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7610,Belgium,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7788,Belgium,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6006,Belgium,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8591,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8419,New Zealand,individual,Individual,Unknown,1_argument,Scientific arguments
9535,Norway,"Electricity, gas, steam and air conditioning supply",National NGO,"Electricity, gas, steam and air conditioning supply",1_argument,Scientific arguments
6513,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
3918,United Kingdom,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
4396,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7690,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
7704,Italy,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8048,Austria,Administrative and support service activities,Company,Administrative and support service activities,1_argument,Scientific arguments
9350,China,individual,Individual,Unknown,1_argument,Scientific arguments
9518,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
8740,Germany,Administrative and support service activities,Company,Administrative and support service activities,1_argument,Scientific arguments
7594,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
8484,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
7612,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6097,Germany,"Manufacture of fabricated metal products, except machinery and equipment",Company,Manufacturing,1_argument,Scientific arguments
8310,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7804,Netherlands,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7201,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
9039,Germany,Activities of membership organisations,Company,Other service activities,1_argument,Scientific arguments
9208,Germany,Manufacture of food products,Company,Manufacturing,1_argument,Scientific arguments
8875,Switzerland,Administrative and support service activities,Company,Administrative and support service activities,1_argument,Scientific arguments
9066,Belgium,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
4093,Austria,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
9527,Belgium,Information service activities,Industry or trade association,Information and communication,1_argument,Scientific arguments
8099,Germany,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
8616,Spain,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
8862,Switzerland,Repair of computers and personal and household goods,Company,Other service activities,1_argument,Scientific arguments
8877,Belgium,"Electricity, gas, steam and air conditioning supply",Industry or trade association,"Electricity, gas, steam and air conditioning supply",1_argument,Scientific arguments
4144,Belgium,unknown,Industry or trade association,Unknown,1_argument,Scientific arguments
8713,Netherlands,Warehousing and support activities for transportation,Industry or trade association,Transportation and storage,1_argument,Scientific arguments
7156,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6094,Austria,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
6641,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
9198,Spain,Manufacture of paper and paper products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6799,China,individual,Individual,Unknown,1_argument,Scientific arguments
6964,China,Manufacturing,Company,Manufacturing,1_argument,Scientific arguments
8136,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
8449,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
8436,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6994,China,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7208,Belgium,"Office administrative, office support and other business support activities",Industry or trade association,Administrative and support service activities,1_argument,Scientific arguments
9023,Germany,Scientific research and development,Industry or trade association,"Professional, scientific and technical activities",1_argument,Scientific arguments
8534,Belgium,Manufacture of machinery and equipment n.e.c.,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6685,Germany,individual,Individual,Unknown,1_argument,Scientific arguments
8157,France,individual,Individual,Unknown,1_argument,Scientific arguments
8887,Germany,Other manufacturing,Company,Manufacturing,1_argument,Scientific arguments
6472,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
4433,Germany,Information service activities,Industry or trade association,Information and communication,1_argument,Scientific arguments
8686,Finland,"Wholesale trade, except of motor vehicles and motorcycles",Industry or trade association,Wholesale and retail trade; repair of motor vehicles and motorcycles,1_argument,Scientific arguments
7535,Netherlands,Manufacture of textiles,Company,Manufacturing,1_argument,Scientific arguments
7358,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7211,Germany,"Motion picture, video and television programme production, sound recording and music publishing activities",Company,Information and communication,1_argument,Scientific arguments
9014,China,Manufacturing,Company,Manufacturing,1_argument,Scientific arguments
9015,China,Manufacturing,Company,Manufacturing,1_argument,Scientific arguments
9150,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7532,Italy,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7566,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7593,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7716,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7877,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8269,Poland,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
8636,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6929,China,Manufacturing,Company,Manufacturing,1_argument,Scientific arguments
7524,"Korea, Republic of",Manufacture of textiles,Company,Manufacturing,1_argument,Scientific arguments
6910,Japan,Manufacture of coke and refined petroleum products,Company,Manufacturing,1_argument,Scientific arguments
6937,"Korea, Republic of",Manufacture of coke and refined petroleum products,Company,Manufacturing,1_argument,Scientific arguments
6941,"Korea, Republic of","Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6956,"Korea, Republic of","Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6966,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6950,"Korea, Republic of",Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
8842,Belgium,Manufacture of other transport equipment,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6404,Japan,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
3968,Japan,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6268,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
3909,Japan,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
4137,United Kingdom,individual,Individual,Unknown,1_argument,Scientific arguments
7924,United States of America,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
6430,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
9231,United Kingdom,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7501,Italy,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
